site,alpha,gamma,lstm_units,dropout_rate,dense_units,batch_size,val_auc,acc,precision,recall,npv,specificity,f1
21,0.95,2.0,64,0.3,32,32,0.9216631789646074,0.818297331639136,0.14375,0.7931034482758621,0.9904306220095693,0.8192612137203166,0.24338624338624337
21,0.9,2.0,64,0.3,16,32,0.9183877718133018,0.9224904701397713,0.2647058823529412,0.6206896551724138,0.9847009735744089,0.9340369393139841,0.3711340206185567
21,0.75,2.0,64,0.3,32,16,0.9157492493858612,0.9491740787801779,0.358974358974359,0.4827586206896552,0.9799465240641712,0.9670184696569921,0.4117647058823529
21,0.95,2.0,32,0.3,32,32,0.9151123646619962,0.8526048284625158,0.17293233082706766,0.7931034482758621,0.9908256880733946,0.8548812664907651,0.2839506172839506
21,0.9,2.0,32,0.3,32,16,0.9137021199162951,0.9047013977128335,0.21951219512195122,0.6206896551724138,0.9843971631205674,0.9155672823218998,0.32432432432432434
21,0.9,2.0,32,0.3,32,32,0.9128377763624784,0.9097839898348158,0.23076923076923078,0.6206896551724138,0.9844851904090268,0.920844327176781,0.3364485981308411
21,0.9,2.0,32,0.3,16,32,0.9109271221908835,0.9174078780177891,0.2631578947368421,0.6896551724137931,0.9873417721518988,0.9261213720316622,0.38095238095238093
21,0.75,2.0,64,0.2,32,32,0.9105176962969702,0.951715374841169,0.36363636363636365,0.41379310344827586,0.9774535809018567,0.9722955145118733,0.3870967741935484
21,0.95,2.0,64,0.2,32,16,0.9101537621690474,0.7636594663278272,0.12796208530805686,0.9310344827586207,0.9965277777777778,0.7572559366754618,0.225
21,0.9,2.0,64,0.2,32,16,0.9093804021472113,0.8894536213468869,0.20408163265306123,0.6896551724137931,0.9869375907111756,0.8970976253298153,0.31496062992125984
21,0.95,2.0,64,0.2,16,16,0.9092894186152307,0.7992376111817027,0.13559322033898305,0.8275862068965517,0.9918032786885246,0.7981530343007915,0.23300970873786409
21,0.75,2.0,64,0.3,16,16,0.9092894186152306,0.9542566709021602,0.3939393939393939,0.4482758620689655,0.9787798408488063,0.9736147757255936,0.41935483870967744
21,0.95,2.0,32,0.3,32,16,0.9092894186152306,0.8627700127064803,0.17886178861788618,0.7586206896551724,0.9894578313253012,0.866754617414248,0.2894736842105263
21,0.95,2.0,64,0.2,32,32,0.9078791738695297,0.8589580686149937,0.1746031746031746,0.7586206896551724,0.989409984871407,0.862796833773087,0.2838709677419355
21,0.95,2.0,64,0.3,16,16,0.9078791738695297,0.8233799237611181,0.1518987341772152,0.8275862068965517,0.9920508744038156,0.8232189973614775,0.25668449197860965
21,0.75,2.0,32,0.3,32,32,0.9078336821035392,0.9606099110546379,0.4642857142857143,0.4482758620689655,0.9789196310935442,0.9802110817941952,0.45614035087719296
21,0.9,2.0,32,0.2,32,32,0.9078336821035392,0.9161372299872935,0.2465753424657534,0.6206896551724138,0.9845938375350141,0.9274406332453826,0.35294117647058826
21,0.95,2.0,64,0.3,16,32,0.9059230279319443,0.8449809402795425,0.16546762589928057,0.7931034482758621,0.9907407407407407,0.8469656992084432,0.27380952380952384
21,0.95,2.0,32,0.3,16,32,0.9048767173141661,0.8614993646759848,0.1774193548387097,0.7586206896551724,0.9894419306184012,0.8654353562005277,0.2875816993464052
21,0.95,2.0,64,0.2,16,32,0.9042853243562915,0.866581956797967,0.17796610169491525,0.7241379310344828,0.9880418535127056,0.8720316622691293,0.2857142857142857
21,0.75,2.0,32,0.2,32,32,0.9040578655263398,0.9618805590851334,0.48148148148148145,0.4482758620689655,0.9789473684210527,0.9815303430079155,0.4642857142857143
21,0.75,2.0,32,0.2,16,32,0.903466472568465,0.9606099110546379,0.4642857142857143,0.4482758620689655,0.9789196310935442,0.9802110817941952,0.45614035087719296
21,0.9,2.0,64,0.3,16,16,0.9032845055045037,0.9135959339263025,0.22535211267605634,0.5517241379310345,0.9818435754189944,0.9274406332453826,0.32
21,0.9,2.0,64,0.2,32,32,0.9029205713765809,0.9148665819567979,0.24324324324324326,0.6206896551724138,0.9845722300140253,0.9261213720316622,0.34951456310679613
21,0.9,2.0,32,0.2,16,16,0.9028750796105904,0.9085133418043202,0.22784810126582278,0.6206896551724138,0.9844632768361582,0.9195250659630607,0.3333333333333333
21,0.75,2.0,32,0.2,32,16,0.9027386043126194,0.9555273189326556,0.40625,0.4482758620689655,0.9788079470198675,0.974934036939314,0.4262295081967213
21,0.95,2.0,32,0.2,16,16,0.902693112546629,0.7738246505717916,0.12935323383084577,0.896551724137931,0.9948805460750854,0.7691292875989446,0.22608695652173913
21,0.75,2.0,32,0.2,16,16,0.9023291784187063,0.9593392630241423,0.4482758620689655,0.4482758620689655,0.978891820580475,0.978891820580475,0.4482758620689655
21,0.9,2.0,64,0.3,32,32,0.9016922936948413,0.9097839898348158,0.21621621621621623,0.5517241379310345,0.9817671809256662,0.9234828496042217,0.3106796116504854
21,0.9,2.0,32,0.3,16,16,0.9016468019288508,0.8869123252858958,0.19387755102040816,0.6551724137931034,0.9854862119013063,0.895778364116095,0.2992125984251969
21,0.9,2.0,32,0.2,16,32,0.9010099172049859,0.9174078780177891,0.24285714285714285,0.5862068965517241,0.9832635983263598,0.9300791556728232,0.3434343434343434
21,0.95,2.0,32,0.2,32,32,0.9006914748430535,0.8386277001270648,0.14492753623188406,0.6896551724137931,0.9861325115562404,0.8443271767810027,0.23952095808383234
21,0.9,2.0,64,0.2,16,32,0.900509507779092,0.9021601016518425,0.2,0.5517241379310345,0.9816124469589816,0.9155672823218998,0.29357798165137616
21,0.75,2.0,64,0.2,32,16,0.9004640160131017,0.9479034307496823,0.35714285714285715,0.5172413793103449,0.9812080536912752,0.9643799472295514,0.4225352112676056
21,0.75,2.0,64,0.2,16,32,0.9001000818851788,0.9618805590851334,0.48,0.41379310344827586,0.9776902887139107,0.9828496042216359,0.4444444444444444
21,0.9,2.0,64,0.3,32,16,0.8972795923937767,0.8894536213468869,0.19148936170212766,0.6206896551724138,0.9841269841269841,0.899736147757256,0.2926829268292683
21,0.75,2.0,64,0.3,32,32,0.8958693476480757,0.9618805590851334,0.48148148148148145,0.4482758620689655,0.9789473684210527,0.9815303430079155,0.4642857142857143
21,0.95,2.0,32,0.2,32,16,0.8957783641160949,0.8259212198221093,0.14935064935064934,0.7931034482758621,0.990521327014218,0.8271767810026385,0.25136612021857924
21,0.75,2.0,64,0.3,16,32,0.8954599217541626,0.9555273189326556,0.40625,0.4482758620689655,0.9788079470198675,0.974934036939314,0.4262295081967213
21,0.75,2.0,32,0.3,32,16,0.8940496770084615,0.9580686149936467,0.4375,0.4827586206896552,0.9801324503311258,0.9762532981530343,0.45901639344262296
21,0.9,2.0,64,0.2,16,16,0.8935947593485578,0.9072426937738246,0.23170731707317074,0.6551724137931034,0.9858156028368794,0.91688654353562,0.34234234234234234
21,0.95,2.0,32,0.3,16,16,0.8932763169866255,0.7865311308767471,0.12432432432432433,0.7931034482758621,0.9900332225913622,0.7862796833773087,0.21495327102803738
21,0.75,2.0,32,0.3,16,32,0.8922754981348375,0.9618805590851334,0.48148148148148145,0.4482758620689655,0.9789473684210527,0.9815303430079155,0.4642857142857143
21,0.9,2.0,32,0.2,32,16,0.8922300063688473,0.8996188055908514,0.2222222222222222,0.6896551724137931,0.9870875179340028,0.9076517150395779,0.33613445378151263
21,0.75,2.0,32,0.3,16,16,0.8917295969429533,0.9529860228716646,0.36666666666666664,0.3793103448275862,0.9762219286657859,0.974934036939314,0.3728813559322034
13,0.75,2.0,64,0.2,32,16,0.8911396714614009,0.9607097591888466,0.5,0.5161290322580645,0.9801849405548216,0.978891820580475,0.5079365079365079
15,0.95,2.0,64,0.2,32,16,0.8879533678756477,0.7885572139303483,0.140625,0.84375,0.9918300653594772,0.7862694300518135,0.24107142857142858
21,0.95,2.0,64,0.3,32,16,0.8868164862159948,0.8030495552731893,0.13793103448275862,0.8275862068965517,0.9918433931484503,0.8021108179419525,0.23645320197044334
13,0.9,2.0,64,0.3,16,16,0.8865435356200528,0.8770595690747782,0.18867924528301888,0.6451612903225806,0.9838945827232797,0.8865435356200527,0.291970802919708
3,0.9,2.0,64,0.2,16,32,0.88627665390924,0.9235588972431078,0.27941176470588236,0.6129032258064516,0.9835616438356164,0.9361147327249022,0.3838383838383838
15,0.9,2.0,64,0.3,16,16,0.8860913212435233,0.8967661691542289,0.24242424242424243,0.75,0.9886524822695035,0.9028497409326425,0.366412213740458
3,0.75,2.0,64,0.2,16,32,0.8853934474492156,0.9636591478696742,0.55,0.3548387096774194,0.974293059125964,0.9882659713168188,0.43137254901960786
15,0.75,2.0,64,0.2,16,32,0.8841887953367875,0.9614427860696517,0.5294117647058824,0.28125,0.9707750952986023,0.9896373056994818,0.3673469387755102
13,0.9,2.0,64,0.3,16,32,0.8841177972593413,0.8808618504435995,0.205607476635514,0.7096774193548387,0.9868035190615836,0.8878627968337731,0.3188405797101449
13,0.9,2.0,64,0.2,32,16,0.8830538769256958,0.8745247148288974,0.19090909090909092,0.6774193548387096,0.9852724594992637,0.8825857519788918,0.2978723404255319
13,0.75,2.0,32,0.3,32,16,0.8829262064856583,0.9543726235741445,0.4358974358974359,0.5483870967741935,0.9813333333333333,0.9709762532981531,0.4857142857142857
13,0.9,2.0,32,0.3,16,32,0.881394161205209,0.9239543726235742,0.29577464788732394,0.6774193548387096,0.9860724233983287,0.9340369393139841,0.4117647058823529
13,0.95,2.0,64,0.3,32,32,0.8809260362584049,0.8086185044359949,0.14285714285714285,0.7741935483870968,0.9887278582930756,0.8100263852242744,0.24120603015075376
13,0.9,2.0,32,0.2,32,32,0.8808834794450593,0.8973384030418251,0.23404255319148937,0.7096774193548387,0.9870503597122302,0.9050131926121372,0.352
21,0.75,2.0,64,0.2,16,16,0.8807205895732872,0.9567979669631512,0.42424242424242425,0.4827586206896552,0.980106100795756,0.974934036939314,0.45161290322580644
3,0.95,2.0,32,0.2,16,32,0.8806830129957521,0.8195488721804511,0.14906832298136646,0.7741935483870968,0.989010989010989,0.8213820078226858,0.25
21,0.95,2.0,32,0.2,16,32,0.8804476389773451,0.8259212198221093,0.13513513513513514,0.6896551724137931,0.9859154929577465,0.8311345646437994,0.22598870056497175
15,0.75,2.0,64,0.3,16,32,0.8803837435233162,0.9577114427860697,0.4444444444444444,0.25,0.9694656488549618,0.9870466321243523,0.32
3,0.9,2.0,64,0.3,32,16,0.8800521512385919,0.9348370927318296,0.32786885245901637,0.6451612903225806,0.9850746268656716,0.9465449804432855,0.43478260869565216
15,0.75,2.0,64,0.3,32,32,0.8796551165803108,0.9626865671641791,0.5555555555555556,0.3125,0.9720101781170484,0.9896373056994818,0.4
16,0.9,2.0,64,0.3,16,32,0.8792893875642824,0.8990578734858681,0.2077922077922078,0.5333333333333333,0.978978978978979,0.9144460028050491,0.29906542056074764
15,0.95,2.0,32,0.2,16,16,0.8786026554404145,0.7922885572139303,0.13513513513513514,0.78125,0.9886914378029079,0.7927461139896373,0.2304147465437788
3,0.75,2.0,64,0.2,32,32,0.8781595659671111,0.9586466165413534,0.46153846153846156,0.3870967741935484,0.9753886010362695,0.9817470664928292,0.42105263157894735
15,0.75,2.0,32,0.3,16,32,0.8779549870466321,0.9614427860696517,0.5263157894736842,0.3125,0.9719745222929936,0.9883419689119171,0.39215686274509803
3,0.75,2.0,64,0.3,16,32,0.8778651638137697,0.9649122807017544,0.5714285714285714,0.3870967741935484,0.9755469755469756,0.9882659713168188,0.46153846153846156
3,0.75,2.0,64,0.2,32,16,0.877192244606132,0.9536340852130326,0.40625,0.41935483870967744,0.9765013054830287,0.9752281616688396,0.4126984126984127
3,0.75,2.0,64,0.3,32,32,0.8769398999032678,0.9573934837092731,0.43478260869565216,0.3225806451612903,0.9729032258064516,0.9830508474576272,0.37037037037037035
13,0.75,2.0,64,0.2,16,16,0.8768831389905523,0.9683143219264893,0.6363636363636364,0.45161290322580644,0.9778357235984355,0.9894459102902374,0.5283018867924528
13,0.9,2.0,64,0.2,16,32,0.8763299004170568,0.9074778200253485,0.25,0.6774193548387096,0.9858156028368794,0.91688654353562,0.3652173913043478
13,0.95,2.0,32,0.3,16,32,0.8759894459102902,0.8035487959442332,0.13953488372093023,0.7741935483870968,0.9886547811993517,0.8047493403693932,0.23645320197044334
3,0.75,2.0,64,0.3,16,16,0.875762291289902,0.9611528822055138,0.5,0.41935483870967744,0.9766839378238342,0.9830508474576272,0.45614035087719296
15,0.75,2.0,32,0.2,16,16,0.8752833549222798,0.9490049751243781,0.3448275862068966,0.3125,0.9716129032258064,0.9753886010362695,0.32786885245901637
8,0.75,2.0,32,0.2,16,32,0.8747676675891125,0.9507389162561576,0.3548387096774194,0.3548387096774194,0.9743918053777209,0.9743918053777209,0.3548387096774194
3,0.95,2.0,64,0.2,32,16,0.8744164528746268,0.7556390977443609,0.11320754716981132,0.7741935483870968,0.9880546075085325,0.7548891786179922,0.19753086419753085
13,0.75,2.0,32,0.2,16,16,0.8742871733764574,0.9531051964512041,0.42105263157894735,0.5161290322580645,0.9800266311584553,0.9709762532981531,0.463768115942029
13,0.75,2.0,64,0.3,32,32,0.874202059749766,0.9695817490494296,0.6521739130434783,0.4838709677419355,0.97911227154047,0.9894459102902374,0.5555555555555556
13,0.75,2.0,64,0.3,16,16,0.8736913779896162,0.9518377693282636,0.4186046511627907,0.5806451612903226,0.982573726541555,0.9670184696569921,0.4864864864864865
13,0.9,2.0,64,0.2,16,16,0.8736913779896162,0.9036755386565273,0.25274725274725274,0.7419354838709677,0.9885386819484241,0.9102902374670184,0.3770491803278688
13,0.95,2.0,32,0.2,16,32,0.8736488211762703,0.7782002534854245,0.125,0.7741935483870968,0.9882747068676717,0.7783641160949868,0.21524663677130046
16,0.9,2.0,64,0.3,32,16,0.8732117812061712,0.8775235531628532,0.19801980198019803,0.6666666666666666,0.9844236760124611,0.8863955119214586,0.3053435114503817
13,0.9,2.0,64,0.2,32,32,0.8730955826027746,0.9049429657794676,0.23809523809523808,0.6451612903225806,0.9843971631205674,0.9155672823218998,0.34782608695652173
13,0.95,2.0,64,0.3,32,16,0.8730530257894289,0.7389100126742713,0.1145374449339207,0.8387096774193549,0.9911032028469751,0.7348284960422163,0.20155038759689922
13,0.95,2.0,32,0.2,32,32,0.8726700144693166,0.8048162230671736,0.13609467455621302,0.7419354838709677,0.9870967741935484,0.8073878627968337,0.23
3,0.95,2.0,64,0.2,16,16,0.8722715229002818,0.7832080200501254,0.12234042553191489,0.7419354838709677,0.9868852459016394,0.7848761408083442,0.2100456621004566
15,0.95,2.0,64,0.3,32,32,0.8718426165803109,0.8258706467661692,0.15384615384615385,0.75,0.9876543209876543,0.8290155440414507,0.2553191489361702
8,0.9,2.0,32,0.2,32,32,0.8711742596340506,0.895320197044335,0.19318181818181818,0.5483870967741935,0.9806629834254144,0.9090909090909091,0.2857142857142857
16,0.75,2.0,64,0.2,32,32,0.8711079943899018,0.955585464333782,0.4444444444444444,0.4,0.9748603351955307,0.9789621318373072,0.42105263157894735
8,0.95,2.0,32,0.2,16,32,0.8710090454751972,0.8349753694581281,0.15894039735099338,0.7741935483870968,0.989409984871407,0.8373879641485276,0.26373626373626374
8,0.75,2.0,32,0.3,32,16,0.8708025277766305,0.9495073891625616,0.35294117647058826,0.3870967741935484,0.9755784061696658,0.971830985915493,0.36923076923076925
15,0.75,2.0,32,0.3,16,16,0.870749676165803,0.9539800995024875,0.4074074074074074,0.34375,0.972972972972973,0.9792746113989638,0.3728813559322034
