site,alpha,gamma,lstm_units,dropout_rate,dense_units,batch_size,val_auc,acc,precision,recall,npv,specificity,f1
21,0.75,2.0,64,0.2,16,16,0.921617687198617,0.9479034307496823,0.35,0.4827586206896552,0.9799196787148594,0.9656992084432717,0.4057971014492754
21,0.5,2.0,32,0.3,16,16,0.9165226094076971,0.9682337992376112,0.6428571428571429,0.3103448275862069,0.9741267787839586,0.9934036939313984,0.4186046511627907
16,0.25,2.0,64,0.2,16,16,0.9164562879850398,0.9609690444145357,0.5714285714285714,0.13333333333333333,0.9646739130434783,0.9957924263674615,0.21621621621621623
21,0.5,2.0,32,0.2,16,32,0.9150213811300154,0.9644218551461246,0.5384615384615384,0.2413793103448276,0.9715762273901809,0.9920844327176781,0.3333333333333333
21,0.75,2.0,32,0.2,32,16,0.9145209717041216,0.9542566709021602,0.4,0.4827586206896552,0.9800531914893617,0.9722955145118733,0.4375
21,0.75,2.0,32,0.3,16,32,0.9133836775543627,0.9529860228716646,0.375,0.41379310344827586,0.9774834437086093,0.9736147757255936,0.39344262295081966
21,0.75,2.0,64,0.2,32,16,0.9110635974888546,0.9504447268106735,0.3611111111111111,0.4482758620689655,0.9786950732356857,0.9696569920844327,0.4
21,0.5,2.0,64,0.3,16,32,0.9104267127649897,0.9644218551461246,0.5454545454545454,0.20689655172413793,0.970360824742268,0.9934036939313984,0.3
21,0.75,2.0,64,0.2,32,32,0.9100627786370667,0.9504447268106735,0.3611111111111111,0.4482758620689655,0.9786950732356857,0.9696569920844327,0.4
21,0.5,2.0,32,0.3,32,32,0.9083340915294332,0.9669631512071156,0.6666666666666666,0.20689655172413793,0.9704370179948586,0.996042216358839,0.3157894736842105
21,0.25,2.0,32,0.2,32,16,0.9082885997634429,0.96569250317662,0.6666666666666666,0.13793103448275862,0.967989756722151,0.9973614775725593,0.22857142857142856
21,0.5,2.0,64,0.3,16,16,0.908061140933491,0.9682337992376112,0.6428571428571429,0.3103448275862069,0.9741267787839586,0.9934036939313984,0.4186046511627907
