SID,misclassification_rate
epp167,0.56
epp223,0.55
epp246,0.09
epp262,0.46
epp551,0.16
epp157,0.41
epp203,0.08
epp237,0.07
epp241,0.64
epp279,0.06
epp394,0.84
epp190,0.41
epp264,0.42
epp440,0.09
epp127,0.81
epp177,0.05
epp205,0.58
epp213,0.21
epp251,0.88
epp274,0.22
epp282,0.77
epp88,0.7
epp248,0.85
epp271,0.91
epp02,0.13
epp128,0.01
epp176,0.17
epp193,0.28
epp217,0.28
epp46,0.69
epp484,0.27
uhr87,0.07
epp227,0.65
epp250,0.7
epp314,0.8
epp442,0.18
epp145,0.49
epp21,0.32
epp244,0.74
epp273,0.7
epp367,0.37
epp388,0.36
epp13,0.57
epp130,0.17
epp158,0.15
epp172,0.26
epp173,0.23
epp181,0.78
epp20,0.17
epp259,1.0
epp269,0.23
epp85,0.68
